Apples,Bananas,Eggs,Oranges,Milk,Rice,Bread,,,
Bananas,,,,,,,,,
Rice,Oranges,Pasta,Cheese,,,,,,
Bananas,Cheese,,,,,,,,
Pasta,Apples,Bananas,Oranges,Bread,Eggs,Chicken,,,
Apples,Bananas,Eggs,Oranges,Milk,Rice,Bread,,,
Apples,Bananas,Milk,Pasta,,,,,,
Oranges,Apples,Pasta,Rice,,,,,,
Chicken,Bread,Oranges,Apples,Bananas,Milk,Pasta,Cheese,Eggs,Rice
Apples,Bananas,Milk,Pasta,,,,,,
Milk,Oranges,,,,,,,,
Apples,Bananas,Milk,Pasta,,,,,,
Bananas,Cheese,,,,,,,,
Apples,Bananas,Eggs,Oranges,Milk,Rice,Bread,,,
Chicken,Bread,Oranges,Apples,Bananas,Milk,Pasta,Cheese,Eggs,Rice
Cheese,Rice,Eggs,Milk,Apples,Chicken,Oranges,Bread,Pasta,Bananas
Apples,Chicken,Eggs,,,,,,,
Bananas,Cheese,,,,,,,,
Pasta,Bananas,,,,,,,,
Rice,Oranges,Pasta,Cheese,,,,,,
Pasta,Chicken,Oranges,Eggs,Bread,Cheese,Bananas,Milk,Rice,Apples
Apples,Chicken,Eggs,,,,,,,
Milk,Oranges,,,,,,,,
Chicken,Bread,Oranges,Apples,Bananas,Milk,Pasta,Cheese,Eggs,Rice
Apples,Bananas,Milk,Pasta,,,,,,
Apples,Bananas,Milk,Pasta,,,,,,
Rice,Oranges,Pasta,Cheese,,,,,,
Bananas,Cheese,,,,,,,,
Bananas,Cheese,Bread,Rice,,,,,,
Bananas,Cheese,Chicken,Pasta,,,,,,
Bread,Bananas,Milk,Oranges,Chicken,,,,,
Milk,Oranges,Rice,Bread,Bananas,Pasta,Eggs,Apples,,
Oranges,Eggs,Rice,Pasta,Bananas,,,,,
Oranges,Pasta,Milk,Apples,Bread,Rice,Bananas,Eggs,Cheese,
Bananas,Cheese,Chicken,Pasta,,,,,,
Oranges,Eggs,Bread,Apples,Chicken,,,,,
Bananas,Cheese,Bread,Rice,,,,,,
Milk,Oranges,,,,,,,,
Bananas,Cheese,,,,,,,,
Apples,Bananas,Milk,Pasta,,,,,,
