Drill,Saw,Gloves,Hammer,Tape Measure,,,,,
Screwdriver,Hammer,Paint,Gloves,Tape Measure,Drill,Nails,Ladder,Saw,Light Bulb
Gloves,Saw,Paint,Screwdriver,Drill,Tape Measure,,,,
Ladder,Paint,,,,,,,,
Screwdriver,Ladder,Nails,Gloves,Paint,Light Bulb,Drill,Tape Measure,Hammer,Saw
Screwdriver,Hammer,Paint,Gloves,Tape Measure,Drill,Nails,Ladder,Saw,Light Bulb
Drill,Screwdriver,Nails,Gloves,Light Bulb,,,,,
Screwdriver,Hammer,Paint,Gloves,Tape Measure,Drill,Nails,Ladder,Saw,Light Bulb
Drill,Light Bulb,Paint,Gloves,Saw,Ladder,Hammer,Nails,,
Light Bulb,Screwdriver,Nails,Gloves,Drill,Tape Measure,,,,
Drill,Light Bulb,Paint,Gloves,Saw,Ladder,Hammer,Nails,,
Saw,Hammer,Nails,Gloves,,,,,,
Nails,Light Bulb,,,,,,,,
Drill,Light Bulb,Paint,Gloves,Saw,Ladder,Hammer,Nails,,
Hammer,,,,,,,,,
Light Bulb,Screwdriver,Nails,Gloves,Drill,Tape Measure,,,,
Screwdriver,Gloves,Saw,,,,,,,
Saw,Hammer,Nails,Gloves,,,,,,
Screwdriver,Saw,Drill,Light Bulb,,,,,,
Light Bulb,Screwdriver,Nails,Gloves,Drill,Tape Measure,,,,
Saw,Tape Measure,Ladder,Gloves,Screwdriver,,,,,
Drill,Paint,,,,,,,,
Drill,Light Bulb,Paint,Gloves,Saw,Ladder,Hammer,Nails,,
Saw,Hammer,Nails,Gloves,,,,,,
Gloves,Tape Measure,Drill,Paint,Light Bulb,Screwdriver,Nails,,,
Saw,Nails,Ladder,Gloves,Paint,Hammer,Light Bulb,Screwdriver,,
Gloves,Saw,Paint,Screwdriver,Drill,Tape Measure,,,,
Drill,Paint,,,,,,,,
Gloves,Saw,Paint,Screwdriver,Drill,Tape Measure,,,,
Drill,Saw,Gloves,Hammer,Tape Measure,,,,,
Tape Measure,,,,,,,,,
Gloves,Saw,Paint,Screwdriver,Drill,Tape Measure,,,,
Drill,Paint,,,,,,,,
Screwdriver,Saw,Drill,Light Bulb,,,,,,
Saw,Hammer,Nails,Gloves,,,,,,
Drill,Paint,,,,,,,,
Tape Measure,,,,,,,,,
Screwdriver,Hammer,Paint,Gloves,Tape Measure,Drill,Nails,Ladder,Saw,Light Bulb
Hammer,,,,,,,,,
Tape Measure,Drill,Saw,Screwdriver,Light Bulb,Nails,Paint,Ladder,Gloves,Hammer
